year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,52.97047402,247549.1512,0,52.97047402
2024,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,9.263380135,43290.94523,0,9.263380135
2024,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,121.3129968,566937.1466,0,121.3129968
2024,Foodservice,Caterers,Breads & Bakery,Other,Other,96.08964441,449059.7895,0,96.08964441
2024,Foodservice,Caterers,Breads & Bakery,Spoiled,Spoiled,531.3968128,2483399.146,0,531.3968128
2024,Foodservice,Caterers,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,190.7740082,891552.222,190.7740082,190.7740082
2024,Foodservice,Caterers,Dairy & Eggs,Date Label Concerns,Date Label Concerns,195.7819734,783542.6936,1.731161261,0
2024,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,73.40217125,293764.2009,0.649043388,73.40217125
2024,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,9.85551628,39442.94583,0.087145347,9.85551628
2024,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,27.40262026,109668.5385,0.242301954,27.40262026
2024,Foodservice,Caterers,Dairy & Eggs,Other,Other,14.09767329,56420.56165,0.124655735,14.09767329
2024,Foodservice,Caterers,Dairy & Eggs,Spoiled,Spoiled,1790.040282,7163953.655,15.8280578,1790.040282
2024,Foodservice,Caterers,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,31.92330273,127760.8463,31.92330273,31.92330273
2024,Foodservice,Caterers,Dry Goods,Date Label Concerns,Date Label Concerns,2585.277691,9432108.805,0,0
2024,Foodservice,Caterers,Dry Goods,Mistakes & Malfunctions,Cooking Issues,532.5277229,1942870.37,0,532.5277229
2024,Foodservice,Caterers,Dry Goods,Mistakes & Malfunctions,Equipment Issues,25.39435926,92648.60033,0,25.39435926
2024,Foodservice,Caterers,Dry Goods,Mistakes & Malfunctions,Handling Errors,347.79436,1268890.478,0,347.79436
2024,Foodservice,Caterers,Dry Goods,Other,Other,101.7658924,371281.9605,0,101.7658924
2024,Foodservice,Caterers,Dry Goods,Spoiled,Spoiled,530.5489417,1935650.999,0,530.5489417
2024,Foodservice,Caterers,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,588.122053,2145700.33,588.122053,588.122053
2024,Foodservice,Caterers,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,1001.086786,8503807.957,141.035024,0
2024,Foodservice,Caterers,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,153.1086839,1300593.378,21.57024467,153.1086839
2024,Foodservice,Caterers,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,28.90709538,245553.5236,4.072486969,28.90709538
2024,Foodservice,Caterers,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,276.7607079,2350964.914,38.99057866,276.7607079
2024,Foodservice,Caterers,Fresh Meat & Seafood,Other,Other,35.31868181,300017.2328,4.975763547,35.31868181
2024,Foodservice,Caterers,Fresh Meat & Seafood,Spoiled,Spoiled,1193.58093,10138964.12,168.1539677,1193.58093
2024,Foodservice,Caterers,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,975.0007888,8282218.465,975.0007888,975.0007888
2024,Foodservice,Caterers,Frozen,Date Label Concerns,Date Label Concerns,41.58250702,127819.8915,0.463381328,0
2024,Foodservice,Caterers,Frozen,Mistakes & Malfunctions,Cooking Issues,6.94015917,21333.25901,0.077338775,6.94015917
2024,Foodservice,Caterers,Frozen,Mistakes & Malfunctions,Equipment Issues,2.463475089,7572.441906,0.027452129,2.463475089
2024,Foodservice,Caterers,Frozen,Mistakes & Malfunctions,Handling Errors,64.45082937,198114.5104,0.718218141,64.45082937
2024,Foodservice,Caterers,Frozen,Other,Other,13.58591358,41761.55132,0.151396804,13.58591358
2024,Foodservice,Caterers,Frozen,Spoiled,Spoiled,70.12028566,215541.7735,0.781396635,70.12028566
2024,Foodservice,Caterers,Frozen,Trimmings & Byproducts,Trimmings & Byproducts,17.33091526,53273.26002,17.33091526,17.33091526
2024,Foodservice,Caterers,Prepared Foods,Date Label Concerns,Date Label Concerns,0,0,0,0
2024,Foodservice,Caterers,Prepared Foods,Excess,Catering Overproduction,242210.695,3081107837,9468.730754,0
2024,Foodservice,Caterers,Prepared Foods,Excess,Overproduction,20829.99335,264973665.9,814.3059029,0
2024,Foodservice,Caterers,Prepared Foods,Excess,Plate Waste,83458.88519,1061661729,3262.654083,0
2024,Foodservice,Caterers,Prepared Foods,Mistakes & Malfunctions,Cooking Issues,0,0,0,0
2024,Foodservice,Caterers,Prepared Foods,Mistakes & Malfunctions,Equipment Issues,0,0,0,0
2024,Foodservice,Caterers,Prepared Foods,Mistakes & Malfunctions,Handling Errors,0,0,0,0
2024,Foodservice,Caterers,Prepared Foods,Other,Other,0,0,0,0
2024,Foodservice,Caterers,Prepared Foods,Spoiled,Spoiled,0,0,0,0
2024,Foodservice,Caterers,Prepared Foods,Trimmings & Byproducts,Trimmings & Byproducts,0,0,0,0
2024,Foodservice,Caterers,Produce,Date Label Concerns,Date Label Concerns,502.5757736,1818898.186,110.5181374,0
2024,Foodservice,Caterers,Produce,Mistakes & Malfunctions,Cooking Issues,163.1255846,590376.3084,35.87187587,163.1255846
