year,sector,sub_sector,sub_sector_category,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_not_fit_for_human_consumption,tons_inedible_parts,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2024,Foodservice,Corrections,Corrections,Fresh Meat & Seafood,1752.289167,94374.70739,14884953.8,1710.98711,1716.428093,1554.403151,846.9251181,35.86107355,0,5.453219505,0.269191768,257.6624289,0,148.6172937,0,1293.880252,10.55794371,0,25654.68193,899.7291909,26554.41112,305.903044,44.34581287,350.2488568,2045720159,2860713.489
2024,Foodservice,Corrections,Corrections,Frozen,103.5342965,5576.14526,318252.6378,101.0939576,101.415439,0,0,2.118857487,0,0.32220438,0.01590524,15.2240274,0,8.781077479,0,76.44912958,0.623817858,0,409.4472724,47.27124949,456.7185219,5.452966014,2.331880042,7.784846056,34927203.09,169025.7316
2024,Foodservice,Corrections,Corrections,Prepared Foods,66844.85926,0,699180675.7,66215.70358,66305.38786,0,2613.162786,539.4714053,0,89.7563283,1.585112849,7136.46657,0,5904.535694,0,50530.54266,2642.573538,0,299425.8456,35188.38522,334614.2308,2581.173846,1611.977058,4193.150905,31619444371,110508979.8
2024,Foodservice,Corrections,Corrections,Produce,1425.004649,76747.83324,5157308.625,1391.4168,1395.841542,1150.235253,980.9182252,29.16310703,0,4.434692226,0.218913367,209.5374245,0,120.8592385,0,1052.215245,8.585979502,0,3136.268634,265.7751304,3402.043764,7.192920632,12.00238675,19.19530738,63877522.56,2326402.57
2024,Foodservice,Corrections,Corrections,Ready-To-Drink Beverages,931.1498399,50149.8242,978016.5944,909.2023186,912.0936056,714.1267467,640.5845323,19.05623428,0,2.897789112,0.143045952,136.9193703,0,78.97381996,0,687.5556912,5.610391127,0,4596.167709,521.7581027,5117.925812,24.57900178,25.73669247,50.31569424,24899560.85,1520156.009
2024,Foodservice,Full Service Restaurants,All Other,Breads & Bakery,2171.55138,114705.7222,12603438.97,2126.579727,2131.876486,1517.110941,288.9031956,39.6748943,0,5.313374206,0.365541225,249.4872815,0,191.5631911,0,1674.979006,10.18470713,0,3906.939446,1726.44744,5633.386886,10.97916088,84.99388189,95.97304277,41701470.49,3553127.477
2024,Foodservice,Full Service Restaurants,All Other,Dairy & Eggs,757.2087565,39997.29322,4289346.125,741.5273733,743.3743257,688.0150204,17.87810859,13.83443084,0,1.852746157,0.127462338,86.99492716,0,66.79709588,0,584.0565331,3.551354803,0,3235.177343,231.4775599,3466.654903,41.8476488,10.97149112,52.81913992,215211340.1,1238957.209
2024,Foodservice,Full Service Restaurants,All Other,Dry Goods,3521.711133,186023.8826,12822530.66,3448.778403,3457.368415,1589.2778,439.6152007,64.34271748,0,8.616958946,0.592816092,404.6057324,0,310.6674007,0,2716.395415,16.51703792,0,9763.166631,1889.147533,11652.31416,32.39701603,92.52782637,124.9248424,433129601.6,5762280.692
2024,Foodservice,Full Service Restaurants,All Other,Fresh Meat & Seafood,7371.812074,389393.9769,53853559.58,7219.145838,7237.126859,5357.538143,2723.961377,134.6852151,0,18.03742545,1.240910642,846.9398285,0,650.303676,0,5686.087179,34.57424388,0,108102.9222,3949.728082,112052.6503,1289.030294,192.5681457,1481.598439,8615813445,12061878.1
2024,Foodservice,Full Service Restaurants,All Other,Frozen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Foodservice,Full Service Restaurants,All Other,Prepared Foods,352343.1957,0,5429339697,350016.9462,350342.6831,0,13774.13517,2000.51257,0,325.9188261,4.003518419,29393.29844,0,32278.86187,0,277091.6439,11249.13855,0,1581027.401,184432.4931,1765459.894,13629.52461,8470.516433,22100.04105,1.66868E+11,583904471.8
2024,Foodservice,Full Service Restaurants,All Other,Produce,3809.868557,201244.9387,15207316.3,3730.968243,3740.261117,3167.258027,2353.802661,69.60743995,0,9.322025489,0.641322159,437.7118394,0,336.0871795,0,2938.659388,17.86851364,0,8398.068868,741.3416019,9139.41047,19.26175731,33.12302293,52.38478025,170971356.7,6233768.528
